sentence_id,sentence,aspect,polarity,from,to
2014_0001,The bread is top notch as well.,bread,positive,4,9
2014_0002,I have to say they have one of the fastest delivery times in the city.,delivery times,positive,43,57
2014_0003,Food is always fresh and hot- ready to eat!,Food,positive,0,4
2014_0004,Did I mention that the coffee is OUTSTANDING?,coffee,positive,23,29
2014_0005,"Certainly not the best sushi in New York, however, it is always fresh, and the place is very clean, sterile.",sushi,conflict,23,28
2014_0005,"Certainly not the best sushi in New York, however, it is always fresh, and the place is very clean, sterile.",place,positive,79,84
2014_0006,"I trust the people at Go Sushi, it never disappoints.",people,positive,12,18
2014_0007,"Straight-forward, no surprises, very decent Japanese food.",Japanese food,positive,44,57
2014_0008,"BEST spicy tuna roll, great asian salad.",asian salad,positive,28,39
2014_0008,"BEST spicy tuna roll, great asian salad.",spicy tuna roll,positive,5,20
2014_0009,Try the rose roll (not on menu).,rose roll,positive,8,17
2014_0009,Try the rose roll (not on menu).,menu,neutral,26,30
2014_0010,"I love the drinks, esp lychee martini, and the food is also VERY good.",drinks,positive,11,17
2014_0010,"I love the drinks, esp lychee martini, and the food is also VERY good.",lychee martini,positive,23,37
2014_0010,"I love the drinks, esp lychee martini, and the food is also VERY good.",food,positive,47,51
2014_0011,"In fact, this was not a Nicoise salad and was barely eatable.",Nicoise salad,negative,24,37
2014_0012,"While there's a decent menu, it shouldn't take ten minutes to get your drinks and 45 for a dessert pizza.",menu,positive,23,27
2014_0012,"While there's a decent menu, it shouldn't take ten minutes to get your drinks and 45 for a dessert pizza.",drinks,neutral,71,77
2014_0012,"While there's a decent menu, it shouldn't take ten minutes to get your drinks and 45 for a dessert pizza.",dessert pizza,neutral,91,104
2014_0013,"Once we sailed, the top-notch food and live entertainment sold us on a unforgettable evening.",food,positive,30,34
2014_0013,"Once we sailed, the top-notch food and live entertainment sold us on a unforgettable evening.",live entertainment,positive,39,57
2014_0014,Our waiter was horrible; so rude and disinterested.,waiter,negative,4,10
2014_0015,The sangria's - watered down.,sangria,negative,4,11
2014_0016,"menu - uneventful, small.",menu,negative,0,4
2014_0017,Anytime and everytime I find myself in the neighborhood I will go to Sushi Rose for fresh sushi and great portions all at a reasonable price.,sushi,positive,90,95
2014_0017,Anytime and everytime I find myself in the neighborhood I will go to Sushi Rose for fresh sushi and great portions all at a reasonable price.,portions,positive,106,114
2014_0017,Anytime and everytime I find myself in the neighborhood I will go to Sushi Rose for fresh sushi and great portions all at a reasonable price.,price,positive,135,140
2014_0018,Great food but the service was dreadful!,food,positive,6,10
2014_0018,Great food but the service was dreadful!,service,negative,19,26
2014_0019,The portions of the food that came out were mediocre.,portions of the food,neutral,4,24
2014_0020,the two waitress's looked like they had been sucking on lemons.,waitress's,negative,8,18
2014_0021,"From the beginning, we were met by friendly staff memebers, and the convienent parking at Chelsea Piers made it easy for us to get to the boat.",staff memebers,positive,44,58
2014_0021,"From the beginning, we were met by friendly staff memebers, and the convienent parking at Chelsea Piers made it easy for us to get to the boat.",parking,positive,79,86
2014_0022,We enjoyed ourselves thoroughly and will be going back for the desserts ....,desserts,positive,63,71
2014_0023,Desserts are almost incredible: my personal favorite is their Tart of the Day.,Desserts,positive,0,8
2014_0023,Desserts are almost incredible: my personal favorite is their Tart of the Day.,Tart of the Day,positive,62,77
2014_0026,"The food was extremely tasty, creatively presented and the wine excellent.",food,positive,4,8
2014_0026,"The food was extremely tasty, creatively presented and the wine excellent.",wine,positive,59,63
