sentence_id,sentence,aspect,from,to,polarity
2015_0001,Love Al Di La,Al Di La,5,13,positive
2015_0002,I recommend this place to everyone.,place,17,22,positive
2015_0003,Great food.,food,6,10,positive
2015_0004,One of my favorite places in Brooklyn.,[ASPECT],0,0,positive
2015_0005,"The pastas are incredible, the risottos (particularly the sepia) are fantastic and the braised rabbit is amazing.",pastas,4,10,positive
2015_0005,"The pastas are incredible, the risottos (particularly the sepia) are fantastic and the braised rabbit is amazing.",risottos,31,39,positive
2015_0005,"The pastas are incredible, the risottos (particularly the sepia) are fantastic and the braised rabbit is amazing.",sepia,58,63,positive
2015_0005,"The pastas are incredible, the risottos (particularly the sepia) are fantastic and the braised rabbit is amazing.",braised rabbit,87,101,positive
2015_0006,Overpriced and not tasty,[ASPECT],0,0,negative
2015_0006,Overpriced and not tasty,[ASPECT],0,0,negative
2015_0007,The food here was mediocre at best.,food,4,8,negative
2015_0008,It was totally overpriced- fish and chips was about $15....,[ASPECT],0,0,negative
2015_0008,It was totally overpriced- fish and chips was about $15....,fish and chips,27,41,negative
2015_0009,Tasty Dog!,Dog,6,9,positive
2015_0010,"An awesome organic dog, and a conscious eco friendly establishment.",dog,19,22,positive
2015_0010,"An awesome organic dog, and a conscious eco friendly establishment.",establishment,53,66,positive
2015_0011,One of the best hot dogs I have ever eaten.,[ASPECT],0,0,positive
2015_0012,Can't wait to go back.,[ASPECT],0,0,positive
2015_0013,The Cypriot restaurant has a lot going for it.,Cypriot restaurant,4,22,positive
2015_0014,But the best pork souvlaki I ever had is the main thing.,pork souvlaki,13,26,positive
2015_0015,Run don't walk.,[ASPECT],0,0,positive
2015_0016,Super YUMMY Pizza!,Pizza,12,17,positive
2015_0017,I was visiting New York City with a friend and we discovered this really warm and inviting restaurant.,restaurant,91,101,positive
2015_0018,"I LOOOVE their eggplant pizza, as well as their pastas!",eggplant pizza,15,29,positive
2015_0018,"I LOOOVE their eggplant pizza, as well as their pastas!",pastas,48,54,positive
2015_0019,"We had half/half pizza, mine was eggplant and my friend had the buffalo and it was sooo huge for a small size pizza!",half/half pizza,7,22,positive
2015_0020,"We had fun eating in there, we were there like around 3 a.m. in the morning!",[ASPECT],0,0,positive
2015_0021,"Will comeback for sure, wish they have it here in LA..",[ASPECT],0,0,positive
2015_0022,"Excellent food, although the interior could use some help.",food,10,14,positive
2015_0022,"Excellent food, although the interior could use some help.",interior,29,37,negative
2015_0023,"The space kind of feels like an Alice in Wonderland setting, without it trying to be that.",space,4,9,negative
2015_0024,"I paid just about $60 for a good meal, though :)",meal,33,37,positive
2015_0024,"I paid just about $60 for a good meal, though :)",meal,33,37,positive
2015_0025,Great sake!,sake,6,10,positive
2015_0026,"Reliable, Fresh Sushi",Sushi,16,21,positive
2015_0027,The sashimi is always fresh and the rolls are innovative and delicious.,sashimi,4,11,positive
2015_0027,The sashimi is always fresh and the rolls are innovative and delicious.,rolls,36,41,positive
2015_0027,The sashimi is always fresh and the rolls are innovative and delicious.,rolls,36,41,positive
2015_0028,Have never had a problem with service save a missing rice once.,service,30,37,positive
2015_0029,Delivery can be spot on or lacking depending on the weather and the day of the week.,Delivery,0,8,negative
2015_0030,Delivery guy sometimes get upset if you don't tip more than 10%.,Delivery guy,0,12,negative
2015_0031,Best. Sushi. Ever.,Sushi,6,11,positive
2015_0032,This place has ruined me for neighborhood sushi.,sushi,42,47,positive
2015_0033,"Creative, consistent, fresh.",[ASPECT],0,0,positive
2015_0033,"Creative, consistent, fresh.",[ASPECT],0,0,positive
2015_0034,"Excellent sashimi, and the millennium roll is beyond delicious.",sashimi,10,17,positive
2015_0034,"Excellent sashimi, and the millennium roll is beyond delicious.",millennium roll,27,42,positive
2015_0035,Not cheap but very yummy.,[ASPECT],0,0,negative
2015_0035,Not cheap but very yummy.,[ASPECT],0,0,positive
2015_0036,Love it.,[ASPECT],0,0,positive
2015_0037,"Very, very nice",[ASPECT],0,0,positive
2015_0038,"The place is a bit hidden away, but once you get there, it's all worth it.",place,4,9,neutral
2015_0038,"The place is a bit hidden away, but once you get there, it's all worth it.",place,4,9,positive
2015_0039,not only is the food,food,16,20,positive
2015_0039,not only is the food,[ASPECT],0,0,positive
2015_0040,Loved It,[ASPECT],0,0,positive
2015_0041,We had a very nice time.,[ASPECT],0,0,positive
2015_0042,"The waiter was attentive, the food was delicious and the views of the city were great.",waiter,4,10,positive
2015_0042,"The waiter was attentive, the food was delicious and the views of the city were great.",food,30,34,positive
2015_0042,"The waiter was attentive, the food was delicious and the views of the city were great.",views of the city,57,74,positive
2015_0043,I'd definitely go back again.,[ASPECT],0,0,positive
2015_0044,Great place to relax and enjoy your dinner,place,6,11,positive
2015_0045,There is something about their atmosphere that makes me come back nearly every week.,atmosphere,31,41,positive
2015_0046,"Place is open till late, no dress code.",Place,0,5,positive
2015_0047,Good food: my favorite is the seafood spaghetti.,food,5,9,positive
2015_0047,Good food: my favorite is the seafood spaghetti.,seafood spaghetti,30,47,positive
2015_0048,Highly recommended!,[ASPECT],0,0,positive
2015_0049,Excellent food for great prices,food,10,14,positive
2015_0049,Excellent food for great prices,food,10,14,positive
2015_0050,My husband and I have been sold on this from the first visit.,[ASPECT],0,0,positive
2015_0051,The wait staff is very courteous and accomodating.,wait staff,4,14,positive
2015_0052,"The space is limited so be prepared to wait up to 45 minutes - 1 hour, but be richly rewarded when you savor the delicious indo-chinese food.",space,4,9,neutral
2015_0052,"The space is limited so be prepared to wait up to 45 minutes - 1 hour, but be richly rewarded when you savor the delicious indo-chinese food.",space,4,9,negative
2015_0052,"The space is limited so be prepared to wait up to 45 minutes - 1 hour, but be richly rewarded when you savor the delicious indo-chinese food.",indo-chinese food,123,140,positive
2015_0053,There are no negatives to speak of.,[ASPECT],0,0,positive
2015_0054,the bestt!,[ASPECT],0,0,positive
2015_0055,my favorite place lol,place,12,17,positive
2015_0056,i love their chicken pasta cant remember the name but is sooo good,chicken pasta,13,26,positive
2015_0057,its alright,[ASPECT],0,0,neutral
2015_0058,"im not necessarily fanatical about this place, but it was a fun time for low pirces.",place,40,45,positive
2015_0058,"im not necessarily fanatical about this place, but it was a fun time for low pirces.",place,40,45,positive
2015_0059,"lobster was good, nothing spectacular.",lobster,0,7,neutral
2015_0060,"its just a fun place to go, not a five star restaraunt.",restaraunt,44,54,neutral
2015_0061,Way below average,[ASPECT],0,0,negative
2015_0062,I think the pizza is so overrated and was under cooked.,pizza,12,17,negative
2015_0063,Had no flavor and the staff is rude and not attentive.,staff,22,27,negative
2015_0063,Had no flavor and the staff is rude and not attentive.,[ASPECT],0,0,negative
2015_0064,Would NEVER go back,[ASPECT],0,0,negative
2015_0065,I love this place,place,12,17,positive
2015_0066,I wasn't here for the pizza so I can't comment on that yet but what I had was very good.,[ASPECT],0,0,positive
2015_0067,The service was quick and friendly.,service,4,11,positive
2015_0068,Everyone was smiling so that made me feel welcome.,[ASPECT],0,0,positive
2015_0069,I thought the restaurant was nice and clean.,restaurant,14,24,positive
2015_0069,I thought the restaurant was nice and clean.,restaurant,14,24,positive
2015_0070,I ordered the vitello alla marsala and I was pretty impressed.,vitello alla marsala,14,34,positive
2015_0071,The veal and the mushrooms were cooked perfectly.,veal,4,8,positive
2015_0071,The veal and the mushrooms were cooked perfectly.,mushrooms,17,26,positive
2015_0072,The potato balls were not dry at all... in fact it was buttery.,potato balls,4,16,positive
2015_0073,The only downside... they only take cash which is OK if you know about it ahead of time.,[ASPECT],0,0,negative
2015_0074,I'll be back for sure.,[ASPECT],0,0,positive
2015_0075,WORST PLACE ON SMITH STREET IN BROOKLYN,PLACE,6,11,negative
2015_0076,"Very immature bartender, didnt know how to make specific drinks, service was so slowwwww, the food was not fresh or warm, waitresses were busy flirting with men at the bar and werent very attentive to all the customers.",bartender,14,23,negative
2015_0076,"Very immature bartender, didnt know how to make specific drinks, service was so slowwwww, the food was not fresh or warm, waitresses were busy flirting with men at the bar and werent very attentive to all the customers.",service,65,72,negative
2015_0076,"Very immature bartender, didnt know how to make specific drinks, service was so slowwwww, the food was not fresh or warm, waitresses were busy flirting with men at the bar and werent very attentive to all the customers.",food,94,98,negative
2015_0076,"Very immature bartender, didnt know how to make specific drinks, service was so slowwwww, the food was not fresh or warm, waitresses were busy flirting with men at the bar and werent very attentive to all the customers.",waitresses,122,132,negative
2015_0077,I would never recommend this place to anybody even for a casual dinner.,place,29,34,negative
2015_0077,I would never recommend this place to anybody even for a casual dinner.,place,29,34,negative
2015_0078,awesome,[ASPECT],0,0,positive
2015_0079,the food is always fresh ...,food,4,8,positive
2015_0080,overpriced japanese food with mediocre service,japanese food,11,24,negative
2015_0080,overpriced japanese food with mediocre service,service,39,46,neutral
2015_0081,Went here on sat 1/26 and was disappointed.,[ASPECT],0,0,negative
2015_0082,Chicken teriyaki had tomato or pimentos on top??,Chicken teriyaki,0,16,negative
2015_0083,food was luke warm.,food,0,4,negative
2015_0084,The waitress was not attentive at all.,waitress,4,12,negative
2015_0085,I was looking for banana tempura for dessert and they dont have.,dessert,37,44,negative
2015_0086,"Not because you are ""The Four Seasons""... – you are allowed to charge an arm and a leg for a romatic dinner.",The Four Seasons,21,37,negative
2015_0087,"The food was excellent as well as service, however, I left The Four Seasons very dissappointed.",food,4,8,positive
2015_0087,"The food was excellent as well as service, however, I left The Four Seasons very dissappointed.",service,34,41,positive
2015_0087,"The food was excellent as well as service, however, I left The Four Seasons very dissappointed.",The Four Seasons,59,75,negative
2015_0088,I do not think dinner in Manhattan should cost $400.00 where I am not swept off my feet.,dinner,15,21,negative
2015_0089,"Red Dragon Roll - my favorite thing to eat, of any food group - hands down",Red Dragon Roll,0,15,positive
2015_0090,Just go to Yamato and order the Red Dragon Roll.,Yamato,11,17,positive
2015_0090,Just go to Yamato and order the Red Dragon Roll.,Red Dragon Roll,32,47,positive
2015_0091,"If you don't like it, I don't know what to tell you.",[ASPECT],0,0,positive
2015_0092,The Seafood Dynamite is also otherworldly.,Seafood Dynamite,4,20,positive
2015_0093,I'm not even going to bother to describe it; it speaks for itself.,[ASPECT],0,0,positive
2015_0094,Favorite Sushi in NYC,Sushi,9,14,positive
2015_0095,"An unpretentious spot in Park Slope, the sushi is consistently good, the service is pleasant, effective and unassuming.",spot,17,21,positive
2015_0095,"An unpretentious spot in Park Slope, the sushi is consistently good, the service is pleasant, effective and unassuming.",sushi,41,46,positive
2015_0095,"An unpretentious spot in Park Slope, the sushi is consistently good, the service is pleasant, effective and unassuming.",service,73,80,positive
2015_0096,"In the summer months, the back garden area is really nice.",back garden area,26,42,positive
2015_0097,The rolls are creative and I have yet to find another sushi place that serves up more inventive yet delicious japanese food.,rolls,4,9,positive
2015_0097,The rolls are creative and I have yet to find another sushi place that serves up more inventive yet delicious japanese food.,japanese food,110,123,positive
2015_0097,The rolls are creative and I have yet to find another sushi place that serves up more inventive yet delicious japanese food.,japanese food,110,123,positive
2015_0098,"The Dancing, White River and Millenium rolls are musts.","Dancing, White River and Millenium rolls",4,44,positive
2015_0099,SO GOOD,[ASPECT],0,0,positive
2015_0100,I CAN EAT HERE EVERY DAY OF THE WEEK REALLY LOL LOVE THIS PLACE ...),PLACE,58,63,positive
2015_0101,Gross food – Wow-,food,6,10,negative
2015_0102,I can't remember the last time I had such gross food in New York.,food,48,52,negative
2015_0103,My quesadilla tasted like it had been made by a three-year old with no sense of proportion or flavor.,quesadilla,3,13,negative
